review,label
预订的酒店到了前台说没房间还不退钱，我要退款,0
机场接送司机迟到四十分钟还态度很差，必须投诉,0
账号突然异地登录后被冻结，马上给我解封,0
小程序付款一直报错，订单也查不到,0
页面写着海景房实际看不到海，明显虚假宣传,0
买的课程和宣传内容完全不符，要求退钱,0
快递显示签收但我根本没收到，物流必须处理,0
APP一打开就闪退，验证码也收不到,0
活动承诺返现但一直不到账，这不是欺骗吗,0
包裹破了里面东西也坏了，我要赔偿,0
外卖送错地址还让我自己去拿，服务太差,0
账户无故风控不能提现，赶紧恢复,0
支付页面卡住扣了钱却没有订单,0
广告说正品结果收到像假货，要求处理,0
买的水果发霉了，客服还不给退货,0
骑手把餐放错楼栋，等了半小时饭都凉了,0
登录提示密码错误但我没改过，账号可能被盗,0
系统一直提示网络异常，客服也解决不了,0
宣传说三天到货结果一周没发货,0
商品少发了一件，商家让我自己承担,0
司机绕路导致费用多了三十元，必须赔偿,0
账号被封号但没有任何说明，马上解封,0
付款失败重复扣款两次，请马上退款,0
直播间承诺赠品但收到没有，涉嫌虚假宣传,0
衣服破损严重还不给售后，要求退货退款,0
配送超时一个小时，骑手态度还特别差,0
账户余额被冻结，客服电话没人接,0
网页提交资料总是报错，刷新也没用,0
图片展示大份套餐实际特别少，图文不符,0
订单号A8899001的手机黑屏，要求退款,0
快递单号77889900一直不更新，物流没人管,0
账号ID abc12345 被风控，无法登录,0
支付了199元课程却打不开视频,0
广告承诺永久会员，开通后只有一个月,0
收到的牛奶已经变质，要求赔偿,0
骑手迟到二十分钟还把汤洒了,0
账号被冻结导致无法接单，请马上处理,0
系统升级后所有按钮点不了,0
商品页面写进口结果产地不符,0
订单号99887766少送两份餐,0
快递员未经允许放驿站还丢了件,0
账户提示异常登录，里面还有余额,0
验证码一直错误导致无法支付,0
宣传的优惠券结算时用不了,0
电脑到货开不了机，商家拒绝退款,0
配送员态度恶劣还骂人，我要投诉,0
账号申诉三天没人处理，急着解封,0
系统报500错误，订单提交失败,0
活动规则写满减实际没减，欺骗消费者,0
收到的食品已经受潮，要求退钱,0
